Area,Code,All categories: Ethnic group,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: Total,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
Southampton,E06000045,"236,882","203,528","183,980","1,746",341,"17,461","5,678","1,678",941,"1,796","1,263","19,892","6,742","3,019","1,401","3,449","5,281","5,067","3,508","1,132",427,"2,717","1,312","1,405"
West Berkshire,E06000037,"153,822","145,854","139,044","1,284",164,"5,362","2,420",776,262,831,551,"3,808","1,675",473,225,659,776,"1,376",701,514,161,364,139,225
Windsor and Maidenhead,E06000040,"144,560","124,505","112,081","2,055",219,"10,150","3,315",679,358,"1,399",879,"13,848","5,860","4,238",393,"1,071","2,286","1,725","1,039",473,213,"1,167",379,788
Wokingham,E06000041,"154,380","136,525","129,119","1,367",291,"5,748","3,182",890,337,"1,273",682,"11,438","5,331","2,865",222,"1,203","1,817","2,093","1,203",712,178,"1,142",500,642
Buckinghamshire,E10000002,"505,283","436,670","409,793","5,377",614,"20,886","12,360","4,573","1,098","4,125","2,564","43,269","11,368","21,236","1,089","2,554","7,022","10,490","4,032","5,175","1,283","2,494",853,"1,641"
East Sussex,E10000011,"526,671","505,422","482,769","3,966",815,"17,872","7,473","1,947","1,023","2,584","1,919","9,143","2,253",317,"1,042","1,931","3,600","2,912","1,800",771,341,"1,721",638,"1,083"
Hampshire,E10000014,"1,317,788","1,252,123","1,209,405","7,361","2,069","33,288","18,051","4,800","2,340","6,880","4,031","35,356","10,731","1,803","2,143","5,605","15,074","8,298","5,090","2,180","1,028","3,960","1,262","2,698"
Kent,E10000016,"1,463,740","1,371,102","1,303,558","10,239","4,685","52,620","22,107","6,266","2,997","7,520","5,324","47,614","18,136","2,406","3,381","5,978","17,713","16,216","11,523","3,293","1,400","6,701","1,535","5,166"
Oxfordshire,E10000025,"653,798","594,004","546,801","6,291",623,"40,289","13,233","3,759","1,557","4,521","3,396","31,657","8,140","7,846","2,491","5,618","7,562","11,424","7,039","3,070","1,315","3,480","1,358","2,122"
Surrey,E10000030,"1,132,390","1,023,682","945,673","13,012","2,261","62,736","23,554","4,920","2,736","9,657","6,241","63,498","20,232","10,818","3,400","9,461","19,587","12,430","7,828","3,303","1,299","9,226","4,101","5,125"
West Sussex,E10000032,"806,892","756,499","717,551","5,979","1,073","31,896","12,155","2,886","2,061","4,269","2,939","28,334","9,659","5,236","2,346","2,960","8,133","7,146","4,569","1,339","1,238","2,758","1,081","1,677"
Bath and North East Somerset,E06000022,"176,016","166,473","158,640","1,146",58,"6,629","2,898",951,292,954,701,"4,577","1,116",170,219,"1,912","1,160","1,326",499,672,155,742,375,367
Bournemouth,E06000028,"183,491","168,797","153,752","1,355",218,"13,472","4,191","1,043",601,"1,396","1,151","7,066","1,940",213,408,"1,840","2,665","1,764","1,208",380,176,"1,673",693,980
"Bristol, City of",E06000023,"428,234","359,592","333,432","3,851",359,"21,950","15,438","7,389","1,533","3,402","3,114","23,655","6,547","6,863","2,104","3,886","4,255","25,734","12,085","6,727","6,922","3,815","1,272","2,543"
Cornwall,E06000052,"532,273","522,848","509,628","2,046",635,"10,539","4,400","1,248",490,"1,553","1,109","3,434",837,107,280,"1,004","1,206",762,292,368,102,829,189,640
Isles of Scilly,E06000053,"2,203","2,177","2,087",10,0,80,18,3,3,9,3,2,0,0,0,0,2,2,1,1,0,4,0,4
North Somerset,E06000024,"202,566","197,076","190,553","1,113",176,"5,234","2,033",681,256,698,398,"2,436",817,111,299,619,590,632,383,188,61,389,127,262
Plymouth,E06000026,"256,384","246,509","238,263","1,105",153,"6,988","3,287",904,523,"1,028",832,"3,906",875,202,359,"1,251","1,219","1,678","1,106",343,229,"1,004",399,605
Poole,E06000029,"147,645","141,523","135,698",756,214,"4,855","1,916",491,246,680,499,"3,276","1,098",96,382,698,"1,002",520,329,119,72,410,127,283
South Gloucestershire,E06000025,"262,767","249,574","241,611","1,223",271,"6,469","3,667","1,516",396,"1,016",739,"6,440","2,699",698,238,"1,312","1,493","2,218",987,980,251,868,366,502
Swindon,E06000030,"209,156","187,898","177,028","1,852",180,"8,838","4,226","1,506",568,"1,163",989,"13,365","6,901","1,292",936,954,"3,282","2,861","1,718",807,336,806,188,618
Torbay,E06000027,"130,959","127,699","124,162",657,37,"2,843","1,420",440,195,443,342,"1,353",403,79,99,261,511,251,140,73,38,236,100,136
Wiltshire,E06000054,"470,981","454,971","439,725","2,381",757,"12,108","5,568","1,968",656,"1,667","1,277","6,178","1,547",215,595,"1,210","2,611","3,228","1,418","1,151",659,"1,036",288,748
Devon,E10000008,"746,399","728,073","708,590","3,130",554,"15,799","6,520","1,750",787,"2,429","1,554","8,710","1,873",280,570,"3,195","2,792","1,413",845,421,147,"1,683",913,770
Dorset,E10000009,"412,905","404,317","394,350","1,975",555,"7,437","3,400",952,431,"1,212",805,"3,833",737,151,525,943,"1,477",924,518,295,111,431,116,315
Gloucestershire,E10000013,"596,984","569,647","546,599","3,759",731,"18,558","8,661","3,627",923,"2,353","1,758","12,433","5,729",942,960,"1,911","2,891","5,150","2,090","2,313",747,"1,093",364,729
Somerset,E10000027,"529,972","519,255","501,558","2,257",733,"14,707","4,241","1,200",650,"1,407",984,"4,873","1,069",203,442,"1,247","1,912","1,013",607,291,115,590,175,415
Isle of Anglesey,W06000001,"69,751","68,520","67,349",476,65,630,480,180,41,180,79,491,135,33,53,153,117,81,50,25,6,179,134,45
Gwynedd,W06000002,"121,874","117,573","115,072",570,153,"1,778",964,287,126,332,219,"2,170",461,220,176,905,408,289,195,70,24,878,700,178
Conwy,W06000003,"115,228","112,549","109,911",840,65,"1,733",894,294,124,275,201,"1,252",317,101,134,376,324,199,114,54,31,334,200,134
Denbighshire,W06000004,"93,734","91,254","89,581",533,34,"1,106",751,251,80,269,151,"1,430",240,157,111,346,576,161,104,35,22,138,39,99
Flintshire,W06000005,"152,506","150,161","146,185",693,95,"3,188",851,267,121,258,205,"1,201",296,87,223,323,272,142,88,42,12,151,50,101
Wrexham,W06000006,"134,844","130,647","125,477",492,104,"4,574","1,010",264,180,326,240,"2,321",857,181,206,426,651,625,526,57,42,241,96,145
Powys,W06000023,"132,976","130,827","127,773",502,128,"2,424",760,208,82,294,176,"1,142",145,9,67,171,750,132,42,70,20,115,23,92
Ceredigion,W06000008,"75,922","73,443","70,717",478,74,"2,174",736,198,75,251,212,"1,099",367,81,91,322,238,266,164,86,16,378,197,181
