Area,Code,All categories: Ethnic group,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: Total,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
Bradford,E08000032,"522,452","352,317","333,628","2,541",433,"15,715","12,979","4,663",875,"5,677","1,764","140,149","13,555","106,614","9,863","2,086","8,031","9,267","4,993","3,581",693,"7,740","3,714","4,026"
Calderdale,E08000033,"203,826","182,787","176,732","1,795",80,"4,180","2,797","1,097",247,907,546,"16,875","1,130","13,904",574,459,808,899,479,320,100,468,111,357
Kirklees,E08000034,"422,458","334,270","323,890","2,635",158,"7,587","9,790","5,167",641,"2,714","1,268","67,782","20,797","41,802",731,"1,452","3,000","7,905","2,364","4,626",915,"2,711","1,214","1,497"
Leeds,E08000035,"751,485","639,487","609,714","7,031",687,"22,055","19,632","8,813","2,493","4,906","3,420","58,243","16,130","22,492","4,432","5,933","9,256","25,893","14,894","6,728","4,271","8,230","3,791","4,439"
Wakefield,E08000036,"325,837","310,957","302,331",908,302,"7,416","2,928","1,087",368,894,579,"8,498","1,540","4,896",32,853,"1,177","2,512","1,955",326,231,942,382,560
Derby,E06000015,"248,752","199,751","187,386","2,319",295,"9,751","7,232","3,916",533,"1,772","1,011","31,095","10,907","14,620",658,"1,292","3,618","7,320","3,156","3,405",759,"3,354",861,"2,493"
Leicester,E06000016,"329,839","166,636","148,629","2,524",417,"15,066","11,580","4,691","1,161","3,388","2,340","122,470","93,335","8,067","3,642","4,245","13,181","20,585","12,480","4,790","3,315","8,568","3,311","5,257"
Nottingham,E06000018,"305,680","218,698","199,990","2,819",326,"15,563","20,265","12,166","2,004","3,304","2,791","40,039","9,901","16,771","1,049","5,988","6,330","22,185","9,877","9,382","2,926","4,493","2,372","2,121"
Rutland,E06000017,"37,369","36,301","35,241",217,58,785,389,123,23,141,102,365,113,38,7,125,82,251,116,107,28,63,5,58
Derbyshire,E10000007,"769,686","750,094","737,034","3,154",311,"9,595","7,119","3,173",678,"2,053","1,215","8,795","4,132",979,229,"1,727","1,728","2,770","1,303","1,153",314,908,251,657
Leicestershire,E10000018,"650,489","594,767","578,432","3,528",411,"12,396","8,551","3,024",714,"3,262","1,551","40,777","28,598","2,099","2,313","3,502","4,265","3,787","1,990","1,379",418,"2,607",866,"1,741"
Lincolnshire,E10000019,"713,653","696,484","663,741","3,278",617,"28,848","6,190","2,073",815,"1,798","1,504","7,316","2,474",584,496,"1,737","2,025","2,561","1,540",661,360,"1,102",420,682
Northamptonshire,E10000021,"691,952","632,822","592,755","6,704",527,"32,836","14,182","6,064","1,925","3,251","2,942","25,427","12,264","2,312","4,264","2,846","3,741","16,923","9,552","5,254","2,117","2,598",845,"1,753"
Nottinghamshire,E10000024,"785,802","750,803","727,938","4,133",456,"18,276","10,716","5,174",961,"2,719","1,862","17,139","7,204","3,470",600,"2,942","2,923","5,102","1,754","2,782",566,"2,042",815,"1,227"
"Herefordshire, County of",E06000019,"183,477","180,169","171,922",709,363,"7,175","1,270",407,146,415,302,"1,439",490,80,32,277,560,331,160,103,68,268,105,163
Shropshire,E06000051,"306,129","299,874","292,047","1,410",312,"6,105","2,168",765,231,669,503,"3,089",752,216,208,"1,020",893,580,302,164,114,418,179,239
Stoke-on-Trent,E06000021,"249,008","220,712","215,222",636,183,"4,671","4,491","1,892",559,"1,347",693,"18,442","2,329","10,429","1,097","1,224","3,363","3,741","2,536",834,371,"1,622",408,"1,214"
Telford and Wrekin,E06000020,"166,641","154,415","149,096",729,166,"4,424","2,983","1,423",278,799,483,"6,991","3,076","2,243",162,647,863,"1,779","1,023",607,149,473,86,387
Staffordshire,E10000028,"848,489","811,615","793,809","3,853",433,"13,520","9,604","4,572",675,"2,708","1,649","20,656","6,452","7,023",651,"2,726","3,804","4,810","1,735","2,446",629,"1,804",569,"1,235"
Warwickshire,E10000031,"545,474","505,688","482,607","5,216",494,"17,371","7,949","3,090",698,"2,606","1,555","25,096","16,435","1,728",284,"2,349","4,300","4,443","2,173","1,733",537,"2,298",467,"1,831"
Birmingham,E08000025,"1,073,045","621,636","570,217","22,021",408,"28,990","47,605","24,720","3,223","11,186","8,476","285,640","64,621","144,627","32,532","12,712","31,148","96,360","29,991","47,641","18,728","21,804","10,910","10,894"
Coventry,E08000026,"316,960","234,029","211,188","7,305",151,"15,385","8,230","3,672",943,"2,388","1,227","51,598","27,751","9,510","2,951","3,728","7,658","17,764","12,836","3,317","1,611","5,339","2,020","3,319"
Dudley,E08000027,"312,925","281,607","277,050","1,170",352,"3,035","5,758","3,477",250,"1,277",754,"18,942","5,737","10,339",397,876,"1,593","4,671","1,402","2,658",611,"1,947","1,259",688
Sandwell,E08000028,"308,063","215,471","202,822","2,045",141,"10,463","10,199","6,163",515,"2,043","1,478","59,258","31,400","13,952","6,588",839,"6,479","18,357","4,396","11,382","2,579","4,778",901,"3,877"
Solihull,E08000029,"206,674","184,244","177,248","3,935",70,"2,991","4,404","2,395",247,"1,156",606,"13,561","7,098","3,413",633,906,"1,511","3,239",852,"1,930",457,"1,226",358,868
Walsall,E08000030,"269,323","212,469","207,238","1,181",287,"3,763","7,224","4,312",321,"1,754",837,"41,022","16,502","14,289","5,194",993,"4,044","6,369","1,999","3,197","1,173","2,239",222,"2,017"
Wolverhampton,E08000031,"249,470","169,682","160,945","1,526",209,"7,002","12,784","8,495",554,"2,160","1,575","44,960","32,162","4,415",432,"1,376","6,575","17,309","4,081","9,507","3,721","4,735",359,"4,376"
Worcestershire,E10000034,"566,169","542,058","522,922","3,480","1,165","14,491","7,045","3,150",592,"2,053","1,250","13,741","3,634","4,984","1,316","1,601","2,206","2,372",767,"1,275",330,953,236,717
Bedford,E06000055,"157,479","126,846","112,588","1,683",115,"12,460","5,386","2,396",587,"1,366","1,037","17,932","8,122","3,270","3,225",905,"2,410","6,202","2,741","2,843",618,"1,113",331,782
Central Bedfordshire,E06000056,"254,381","238,722","228,053","3,149",478,"7,042","4,789","1,787",522,"1,474","1,006","6,402","2,533",442,214,"1,404","1,809","3,614","2,054","1,230",330,854,357,497
Luton,E06000032,"203,201","111,079","90,530","6,126",198,"14,225","8,281","3,831",915,"1,805","1,730","60,952","10,625","29,353","13,606","1,497","5,871","19,909","9,169","8,177","2,563","2,980","1,646","1,334"
Peterborough,E06000031,"183,631","151,544","130,232","1,257",560,"19,495","4,948","1,542",827,"1,384","1,195","21,492","4,636","12,078",229,872,"3,677","4,164","2,480","1,174",510,"1,483",428,"1,055"
Southend-on-Sea,E06000033,"173,658","159,023","151,136","1,496",162,"6,229","3,651","1,039",741,977,894,"6,440","1,810","1,059",933,"1,084","1,554","3,647","2,728",524,395,897,297,600
Thurrock,E06000034,"157,705","135,429","127,587","1,108",308,"6,426","3,099","1,056",670,683,690,"5,927","2,234",534,682,828,"1,649","12,323","9,742","1,336","1,245",927,254,673
Cambridgeshire,E10000003,"621,210","574,987","524,617","4,908","1,508","43,954","11,081","2,510","1,385","3,895","3,291","25,638","7,430","2,373","2,562","6,723","6,550","6,010","3,426","1,647",937,"3,494","1,370","2,124"
Essex,E10000012,"1,393,587","1,313,856","1,264,877","11,165","2,161","35,653","20,885","6,936","2,801","6,173","4,975","34,860","12,456","3,462","2,747","6,361","9,834","18,709","12,143","4,556","2,010","5,277","2,042","3,235"
Hertfordshire,E10000015,"1,116,062","977,495","902,006","17,260","1,149","57,080","27,497","8,899","3,250","8,703","6,645","72,581","28,848","12,302","5,608","8,462","17,361","31,401","19,722","8,713","2,966","7,088","2,359","4,729"
Norfolk,E10000020,"857,888","828,018","793,086","3,677",922,"30,333","10,027","2,493","1,905","2,979","2,650","13,017","4,043",700,933,"3,208","4,133","4,609","3,096",905,608,"2,217",963,"1,254"
Suffolk,E10000029,"728,163","693,195","661,458","3,744",604,"27,389","12,472","4,733","1,785","2,787","3,167","13,131","3,999",697,"2,253","2,159","4,023","6,854","2,624","2,509","1,721","2,511",320,"2,191"
Camden,E09000007,"220,338","146,055","96,937","7,053",167,"41,898","12,322","2,494","1,800","3,880","4,148","35,446","6,083","1,489","12,503","6,493","8,878","18,060","10,802","3,496","3,762","8,455","3,432","5,023"
City of London,E09000001,"7,375","5,799","4,243",180,3,"1,373",289,38,37,111,103,940,216,16,232,263,213,193,98,46,49,154,69,85
Hackney,E09000012,"246,270","134,617","89,030","5,216",474,"39,897","15,869","4,989","2,866","3,020","4,994","25,867","7,599","1,905","6,180","3,436","6,747","56,858","27,976","19,168","9,714","13,059","1,721","11,338"
Hammersmith and Fulham,E09000013,"182,493","124,222","81,989","6,321",217,"35,695","10,044","2,769","1,495","2,649","3,131","16,635","3,451","1,612","1,056","3,140","7,376","21,505","10,552","7,111","3,842","10,087","5,228","4,859"
Haringey,E09000014,"254,926","154,343","88,424","6,997",370,"58,552","16,548","4,856","2,609","3,738","5,345","24,150","5,945","1,920","4,417","3,744","8,124","47,830","23,037","18,087","6,706","12,055","2,229","9,826"
Islington,E09000019,"206,125","140,515","98,322","8,140",163,"33,890","13,339","4,236","1,912","2,964","4,227","19,034","3,534",951,"4,662","4,457","5,430","26,294","12,622","7,943","5,729","6,943","1,893","5,050"
Kensington and Chelsea,E09000020,"158,649","112,017","62,271","3,715",119,"45,912","8,986","1,695","1,148","3,021","3,122","15,861","2,577",911,836,"3,968","7,569","10,333","5,536","3,257","1,540","11,452","6,455","4,997"
Lambeth,E09000022,"303,086","173,025","118,250","7,456",195,"47,124","23,160","8,302","4,301","3,574","6,983","20,938","4,983","3,072","2,221","4,573","6,089","78,542","35,187","28,886","14,469","7,421","1,728","5,693"
Lewisham,E09000023,"275,885","147,686","114,446","5,206",208,"27,826","20,472","8,539","3,559","3,045","5,329","25,534","4,600","1,596","1,388","6,164","11,786","74,942","32,025","30,854","12,063","7,251","1,456","5,795"
Newham,E09000025,"307,984","89,216","51,516","2,172",462,"35,066","13,945","3,957","3,319","2,677","3,992","133,895","42,484","30,307","37,262","3,930","19,912","60,256","37,811","15,050","7,395","10,672","3,523","7,149"
Southwark,E09000028,"288,283","156,349","114,534","6,222",263,"35,330","17,778","5,677","3,687","3,003","5,411","27,192","5,819","1,623","3,912","8,074","7,764","77,511","47,413","17,974","12,124","9,453","2,440","7,013"
Tower Hamlets,E09000030,"254,096","114,819","79,231","3,863",175,"31,550","10,360","2,837","1,509","2,961","3,053","104,501","6,787","2,442","81,377","8,109","5,786","18,629","9,495","5,341","3,793","5,787","2,573","3,214"
Wandsworth,E09000032,"306,995","219,216","163,739","7,664",163,"47,650","15,241","4,642","2,034","3,887","4,678","33,338","8,642","9,718","1,493","3,715","9,770","32,756","14,818","12,297","5,641","6,444","2,350","4,094"
Westminster,E09000033,"219,396","135,330","77,334","4,960",76,"52,960","11,395","1,869","1,927","3,584","4,015","31,862","7,213","2,328","6,299","5,917","10,105","16,472","9,141","4,449","2,882","24,337","15,724","8,613"
